participant,group,modality,RT_ms,accuracy
1,single,game,3107.3333333333335,1.0
1,single,lab,2331.349806667034,1.0
2,single,game,3729.125,0.9375
2,single,lab,1865.4243666667753,1.0
3,single,game,2287.0625,0.9375
3,single,lab,1762.399106666756,1.0
4,single,game,2837.5625,0.9375
4,single,lab,1452.9313866655382,1.0
5,single,game,3696.7894736842104,0.7894736842105263
5,single,lab,1540.2571933329455,1.0
6,single,game,3148.4615384615386,0.8205128205128205
6,single,lab,1602.0891066684271,1.0
7,single,game,3064.4666666666667,1.0
7,single,lab,1510.770193333322,1.0
8,single,game,2435.5555555555557,0.8333333333333334
8,single,lab,1547.0682333333418,1.0
9,single,game,2686.2,1.0
9,single,lab,1363.1837733333366,1.0
10,single,game,2967.6,1.0
10,single,lab,1429.9736733333702,1.0
11,single,game,2604.3333333333335,1.0
11,single,lab,1431.5763866666505,1.0
12,single,game,2649.3333333333335,1.0
12,single,lab,1507.9863200000013,1.0
13,single,game,2900.133333333333,1.0
13,single,lab,1391.2566666665953,1.0
14,single,game,3793.866666666667,1.0
14,single,lab,1640.1328133333323,1.0
15,single,game,2116.8125,0.9375
15,single,lab,1338.137439999999,1.0
16,single,game,2696.9333333333334,1.0
16,single,lab,1766.1829400000138,1.0
17,single,game,2426.733333333333,1.0
17,single,lab,1160.4643666668078,1.0
18,single,game,2616.75,0.9375
18,single,lab,1542.302046666373,1.0
19,single,game,2887.4666666666667,1.0
19,single,lab,1649.9751800006682,1.0
20,single,game,3487.9333333333334,1.0
20,single,lab,1492.9917733335362,1.0
21,single,game,3968.2,1.0
21,single,lab,1547.1590666663058,1.0
22,multiple,game,1480.75,0.9861599999999999
22,multiple,lab,1330.599113333339,1.0
23,multiple,game,1969.4166666666667,0.9821416666666666
23,multiple,lab,1498.6478333333405,0.9600000000000001
24,multiple,game,3120.4166666666665,0.8821416666666667
24,multiple,lab,1997.2415266666453,1.0
25,multiple,game,1176.7,1.0
25,multiple,lab,1338.801493333449,1.0
26,multiple,game,2160.7272727272725,0.9805181818181817
26,multiple,lab,1780.876733333207,1.0
27,multiple,game,2547.7272727272725,0.9870181818181817
27,multiple,lab,1373.8547133333325,0.9733333333333334
28,multiple,game,1685.25,0.9880916666666666
28,multiple,lab,1609.014653333331,0.9866666666666667
29,multiple,game,1746.090909090909,0.9805181818181817
29,multiple,lab,1268.6897666666787,0.92
30,multiple,game,1656.4285714285713,0.9748285714285714
30,multiple,lab,2103.0041999999717,0.9866666666666667
31,multiple,game,1490.0,0.9870181818181817
31,multiple,lab,1497.8926600000098,1.0
32,multiple,game,1700.0833333333333,0.9811500000000001
32,multiple,lab,1556.2989399999994,0.4533333333333334
33,multiple,game,1657.4615384615386,0.972523076923077
33,multiple,lab,1430.43959333332,0.9466666666666668
34,multiple,game,2219.3,1.0
34,multiple,lab,1463.7053466666355,0.9866666666666667
35,multiple,game,1738.1818181818182,0.9805181818181818
35,multiple,lab,1760.4853533333273,1.0
36,multiple,game,2218.8333333333335,1.0
36,multiple,lab,1542.5416466666813,1.0133333333333332
37,multiple,game,1135.923076923077,1.0
37,multiple,lab,2128.5374466666476,1.0266666666666666
